epoch,stage,duration_seconds,classifier_learning_rate,feature_learning_rate,train_accuracy,train_macro_f1,train_balanced_accuracy,train_roc_auc_ovr_macro,train_loss,validation_accuracy,validation_macro_f1,validation_balanced_accuracy,validation_roc_auc_ovr_macro,validation_loss
1,classifier,50.18,0.001,0.0,0.7035541195476576,0.7028240174729167,0.6977950982753679,0.9416571896680807,0.9280190219883002,0.667741935483871,0.6631737862609157,0.6644879552190904,0.929512587187747,0.9312923019932162
2,classifier,46.24,0.001,0.0,0.8982229402261712,0.8968293858861881,0.8970686724328018,0.9918007705824117,0.30285648277002314,0.667741935483871,0.6390215242029337,0.6621264324416167,0.9441064914368875,1.0406338722475112
3,classifier,45.84,0.001,0.0,0.9458804523424879,0.9439523476765196,0.9444539757451774,0.9975724476672546,0.1643919601964257,0.6903225806451613,0.6791671764643183,0.6882609796925246,0.941579112330073,1.0547732345519527
4,fine_tune,54.54,0.00035,0.0001,0.9240710823909531,0.9224684115709597,0.9220147330505011,0.9956008020394148,0.24898719871853012,0.6806451612903226,0.6691726912059058,0.685561680731497,0.9537684686453829,1.095059940891881
5,fine_tune,54.47,0.00035,0.0001,0.9749596122778675,0.9742915145155313,0.9743484007043339,0.9993724892690465,0.09426116124878793,0.7064516129032258,0.6904601682025254,0.7135235546577557,0.949993393113375,1.2683747864538624
6,fine_tune,54.73,0.00035,0.0001,0.9903069466882067,0.9896142632666757,0.9895397007117024,0.9998296233822411,0.04876831104687034,0.7419354838709677,0.726386871730025,0.7426648133814117,0.9559457755165937,1.076081677790611
7,fine_tune,54.98,0.00035,0.0001,0.9975767366720517,0.9975942095114609,0.9977323000047741,0.9999860650825746,0.026361739691738068,0.7483870967741936,0.7310667415347929,0.7478481910803174,0.9523209988791612,1.1948653317266895
8,fine_tune,56.28,0.00035,0.0001,0.994345718901454,0.9941904655726796,0.994443555697755,0.9999289440309489,0.026017784622463253,0.7548387096774194,0.743710530807305,0.7533564443353659,0.9524274421656287,1.1612430820541997
9,fine_tune,54.38,0.00035,0.0001,0.994345718901454,0.9941468810068667,0.9941402940547357,0.9999740045632931,0.018936695046542343,0.7354838709677419,0.7234376880636614,0.7384329356164298,0.9506711324367224,1.2667002308753228
10,fine_tune,54.72,0.00035,0.0001,0.9983844911147012,0.9983486016738826,0.9982349490748147,0.9999968986601572,0.012195448954597187,0.7322580645161291,0.7193144260079875,0.7321376654269478,0.948333451232801,1.2551207653937801
11,fine_tune,55.06,0.0001225,3.5e-05,1.0,1.0,1.0,1.0,0.006917153291031116,0.7516129032258064,0.7389173388262611,0.7516150956219675,0.949612102774743,1.2240082844611138
12,fine_tune,54.61,0.0001225,3.5e-05,0.9983844911147012,0.9983643457995311,0.998492178424227,0.9999985526125343,0.008143442611455292,0.7548387096774194,0.7457877988528461,0.7526419540989383,0.9492341641017393,1.2003678344911144
