epoch,stage,duration_seconds,classifier_learning_rate,feature_learning_rate,train_accuracy,train_macro_f1,train_balanced_accuracy,train_roc_auc_ovr_macro,train_loss,validation_accuracy,validation_macro_f1,validation_balanced_accuracy,validation_roc_auc_ovr_macro,validation_loss
1,classifier,46.86,0.001,0.0,0.6847058823529412,0.6821431464349413,0.6809899447338624,0.93001859734927,0.9658925378556344,0.7435897435897436,0.7136670364002022,0.7292937605149586,0.9482752908672714,0.74477919172018
2,classifier,44.96,0.001,0.0,0.9058823529411765,0.9049778079567794,0.9059551034968297,0.9916707588893531,0.2991160253449982,0.717948717948718,0.7071345211566673,0.7108386365298809,0.953293203566134,0.7472030701654735
3,classifier,44.41,0.001,0.0,0.9411764705882353,0.9400071639622519,0.9404613895537647,0.9971074031205872,0.17820068149005666,0.7472527472527473,0.7348741001350767,0.7369157340355498,0.9554902643077436,0.7655214564704196
4,fine_tune,55.48,0.00035,0.0001,0.9231372549019607,0.9207379501769587,0.9209305540978272,0.9956810906586611,0.2414567938037947,0.7435897435897436,0.7380205949735037,0.7382689634993783,0.9577247723249194,0.8447275432474884
5,fine_tune,54.82,0.00035,0.0001,0.9780392156862745,0.977148697527132,0.9779995546732191,0.9995033599438807,0.08385859964232818,0.7582417582417582,0.7444673720397231,0.7492904688757224,0.9597739104437003,0.8894076963047405
6,fine_tune,55.34,0.00035,0.0001,0.9803921568627451,0.9796807457120155,0.9799827813435902,0.9995432296811174,0.06450021252036095,0.7435897435897436,0.7289761688204557,0.7346481603394047,0.9621296624855586,0.8961775888016809
7,fine_tune,55.82,0.00035,0.0001,0.9937254901960785,0.9933238335096208,0.9930825998519227,0.9998275102170834,0.03235748158585207,0.7728937728937729,0.7609166086621916,0.7644429814936727,0.9631246355697749,0.8120160661774241
8,fine_tune,55.82,0.00035,0.0001,0.996078431372549,0.996022000380825,0.9960106999611776,0.9999923807842507,0.019659809836862135,0.7509157509157509,0.7400428873099806,0.7440348182283667,0.9635520023098179,0.857580154370039
9,fine_tune,59.36,0.00035,0.0001,0.9945098039215686,0.9940597403839802,0.9940712619598465,0.9999522097325632,0.0220147718562215,0.7912087912087912,0.7784925040335277,0.7821867456660083,0.9658292953779892,0.7594553708156824
10,fine_tune,55.31,0.00035,0.0001,0.996078431372549,0.9958063258079969,0.9957966369521962,0.9999773379310675,0.015344415668252053,0.7802197802197802,0.7681052125064907,0.7718125960061444,0.965408267433486,0.7738301203801081
11,fine_tune,57.55,0.00035,0.0001,0.996078431372549,0.996022000380825,0.9960106999611776,0.999993252661839,0.011952828421787012,0.7545787545787546,0.744988051371614,0.7480030721966207,0.9659181260913943,0.8725514914089944
12,fine_tune,67.32,0.0001225,3.5e-05,0.9976470588235294,0.9974106291509182,0.9970443349753694,0.9999796193157049,0.013541965718362846,0.7875457875457875,0.7768803433563664,0.7787286957793871,0.963817104113745,0.8342778850824405
