epoch,stage,duration_seconds,classifier_learning_rate,feature_learning_rate,train_accuracy,train_macro_f1,train_balanced_accuracy,train_roc_auc_ovr_macro,train_loss,validation_accuracy,validation_macro_f1,validation_balanced_accuracy,validation_roc_auc_ovr_macro,validation_loss
1,classifier,45.31,0.001,0.0,0.6642453591606134,0.6596778599596884,0.6562788691990048,0.9200733209356297,1.029231176970946,0.7508090614886731,0.7507239409362823,0.7478481750920325,0.9568311884980732,0.6885282962453404
2,classifier,46.25,0.001,0.0,0.8958837772397095,0.893837808338766,0.8941319174224663,0.9908956661968914,0.32394500159755457,0.7766990291262136,0.781209838417734,0.7856689237520478,0.9638717364931645,0.6137148980955476
3,classifier,45.83,0.001,0.0,0.933817594834544,0.9320237741585145,0.9319211770253301,0.9964383333929112,0.19332695401802094,0.7475728155339806,0.7420949505861741,0.7389742375519434,0.9626254376511535,0.6052496727423374
4,fine_tune,54.93,0.00035,0.0001,0.9281678773204197,0.9272928566904618,0.9263792177884619,0.9950766631623899,0.2611757147398757,0.6537216828478964,0.6548232265555486,0.6614521124515178,0.9613756552705317,1.0074432625353915
5,fine_tune,54.87,0.00035,0.0001,0.9757869249394673,0.9751070574822951,0.9755852172162303,0.9990453503770941,0.1069797820458978,0.7346278317152104,0.7396947090777533,0.7431797109839927,0.9650081099526394,0.8412211593300779
6,fine_tune,55.26,0.00035,0.0001,0.9846650524616626,0.9843266515886385,0.98442281259737,0.9996075344852635,0.06580115164103192,0.7475728155339806,0.7514727167462729,0.7507192886405256,0.9655492747320975,0.768285879232351
7,fine_tune,55.74,0.00035,0.0001,0.9919289749798225,0.9921175890728348,0.9921257672740261,0.9999317661469395,0.03775619768369958,0.7605177993527508,0.7652378582855038,0.7636575428814758,0.9680920069023677,0.7532860733158766
8,fine_tune,56.04,0.00035,0.0001,0.9991928974979822,0.999219354047468,0.9992236024844721,0.9999977855552746,0.018402172299139534,0.7475728155339806,0.7506734266164375,0.7506773878222273,0.9678485374591063,0.7738214341567944
9,fine_tune,56.89,0.00035,0.0001,0.9967715899919289,0.9967858982710914,0.9969011643118785,0.9999939305011968,0.01784202713959815,0.7669902912621359,0.7691151297454183,0.7696044174684983,0.9698615027462634,0.6975029830407942
10,fine_tune,54.96,0.00035,0.0001,0.9967715899919289,0.9967727419583109,0.996649104386649,0.999983742927272,0.014448440906571419,0.7540453074433657,0.7530581850349292,0.7526024393722954,0.964174997956172,0.8104998980525242
11,fine_tune,55.25,0.00035,0.0001,0.9959644874899112,0.99598207619938,0.9962325207860923,0.999989156470812,0.013938515295993907,0.7734627831715211,0.7724786256023985,0.7712937965812288,0.9642943126659309,0.7941019660446637
12,fine_tune,55.59,0.00035,0.0001,1.0,1.0,1.0,1.0,0.00624931713639848,0.7734627831715211,0.7737644789906707,0.7742215572630532,0.9654773008476502,0.8050774158397539
