epoch,stage,duration_seconds,classifier_learning_rate,feature_learning_rate,train_accuracy,train_macro_f1,train_balanced_accuracy,train_roc_auc_ovr_macro,train_loss,validation_accuracy,validation_macro_f1,validation_balanced_accuracy,validation_roc_auc_ovr_macro,validation_loss
1,classifier,44.92,0.001,0.0,0.6890145395799677,0.6801254329881106,0.680638019650143,0.9319812618534539,0.9769059298304248,0.7806451612903226,0.7767299496832488,0.7812411792631586,0.9636408409287753,0.6240635264304376
2,classifier,45.64,0.001,0.0,0.8909531502423264,0.8902116755916554,0.8904719111811932,0.9902209519332131,0.32809780237170144,0.8225806451612904,0.8164905415535795,0.8186305300983686,0.9695965221288662,0.543321390305796
3,classifier,46.06,0.001,0.0,0.931340872374798,0.930429738872049,0.9299697231739811,0.9961574836035847,0.2061926732637193,0.8193548387096774,0.8114297584896414,0.8141415549546007,0.9738155338643504,0.5072843120944115
4,fine_tune,54.53,0.00035,0.0001,0.9151857835218093,0.9135623447426068,0.9133514017226322,0.9944739950281691,0.27459439498060934,0.7870967741935484,0.7855799813226831,0.7836066217285859,0.9719487327466168,0.6767815089994861
5,fine_tune,54.71,0.00035,0.0001,0.9660743134087237,0.9650492017237156,0.9644912773797645,0.9984759937972033,0.11966652128249647,0.8225806451612904,0.821915659403419,0.8187897503939642,0.9744101928240342,0.6217060058347641
6,fine_tune,54.36,0.00035,0.0001,0.9806138933764136,0.9799277450056011,0.9802032518397831,0.9996694295456213,0.06864514677320428,0.8225806451612904,0.8173310091540896,0.8128149794472515,0.9764415891350969,0.6195063091093495
7,fine_tune,54.66,0.00035,0.0001,0.9927302100161551,0.9927265944595722,0.9928645027415494,0.9999254671434343,0.03897376539056251,0.8354838709677419,0.8319502935125607,0.8313858969051847,0.9767546105687044,0.6058254972580941
8,fine_tune,54.84,0.00035,0.0001,0.9935379644588045,0.9929959123980797,0.9926331620902478,0.9998926822734531,0.029002582843931504,0.8290322580645161,0.8272277193888604,0.8296102514018401,0.9766369924355098,0.6235550257467455
9,fine_tune,54.33,0.00035,0.0001,0.9967689822294022,0.9966684218650792,0.9969226207044057,0.9999769199354819,0.018455524803989345,0.867741935483871,0.8583026649189466,0.8583244233818615,0.9790739940571196,0.5150632765985305
10,fine_tune,54.59,0.00035,0.0001,0.9959612277867528,0.9958480877738244,0.995783473162016,0.9999797103635639,0.01809627089727676,0.864516129032258,0.8587881461953423,0.8582157906595773,0.9810122050468472,0.49196598145269577
11,fine_tune,53.9,0.00035,0.0001,0.9975767366720517,0.9973488190863602,0.9974751129766327,0.9999802703857641,0.011203307086701154,0.8387096774193549,0.8348974420187646,0.8361105655908264,0.9803093098351187,0.514168417838312
12,fine_tune,54.91,0.00035,0.0001,0.9983844911147012,0.9983627585414777,0.9982309708753477,0.9999978383472868,0.008742062706328772,0.8580645161290322,0.8534308070708322,0.854678029579197,0.9796879270386334,0.5212258392764676
