epoch,stage,duration_seconds,classifier_learning_rate,feature_learning_rate,train_accuracy,train_macro_f1,train_balanced_accuracy,train_roc_auc_ovr_macro,train_loss,validation_accuracy,validation_macro_f1,validation_balanced_accuracy,validation_roc_auc_ovr_macro,validation_loss
1,classifier,45.3,0.001,0.0,0.6803874092009685,0.6735897236913668,0.6737281526104946,0.925881261159182,0.9883704972036237,0.7799352750809061,0.773942609373625,0.7705862829928493,0.9726416836526068,0.6392483880026055
2,classifier,45.45,0.001,0.0,0.8894269572235673,0.886956627684226,0.887826528377997,0.9896873718433358,0.3361369325471944,0.7831715210355987,0.7761155389025094,0.7737398545378155,0.977860183943668,0.5493851896242802
3,classifier,45.64,0.001,0.0,0.927360774818402,0.9270101531065432,0.9271283850186619,0.9952987058345614,0.22081334832409297,0.8252427184466019,0.8214066605558663,0.8200792861611902,0.9819103122881391,0.45750544420337985
4,fine_tune,54.83,0.00035,0.0001,0.9209039548022598,0.9193230184618847,0.9199613966902361,0.9945484214582325,0.26908081262413774,0.8349514563106796,0.835009096540125,0.8346281701763382,0.9840994602738474,0.5031237573299593
5,fine_tune,55.06,0.00035,0.0001,0.9612590799031477,0.9588007928329069,0.9586102351103429,0.998020590954395,0.12739936867916749,0.8122977346278317,0.8142321497572091,0.8162909406898066,0.9841415339187929,0.5377875726585635
6,fine_tune,54.75,0.00035,0.0001,0.9870863599677159,0.9863700819060844,0.9865905206926847,0.9995984823869195,0.06273900694044682,0.8478964401294499,0.8494051406066206,0.8489191235032855,0.9860972387006831,0.4553898530484789
7,fine_tune,54.55,0.00035,0.0001,0.9927360774818402,0.9926282598438492,0.9926364022836964,0.9998111013967875,0.039251948113735884,0.8511326860841424,0.8476703010259783,0.8466500501060061,0.9853346165215673,0.434293566205355
8,fine_tune,55.19,0.00035,0.0001,0.9983857949959645,0.9983521945248279,0.9984922624020368,0.999988298872292,0.020519171395700628,0.8414239482200647,0.8380774823933519,0.8367109084257034,0.9858535412723389,0.438427206574906
9,fine_tune,58.81,0.00035,0.0001,0.9983857949959645,0.9984714167187774,0.998447204968944,1.0,0.016064563254984374,0.86084142394822,0.8582424771970585,0.8566819897111166,0.9864672864504594,0.4201802547695567
10,fine_tune,54.89,0.00035,0.0001,0.9951573849878934,0.9950207381301841,0.9949045930782766,0.9999853277522298,0.01690248913947971,0.8673139158576052,0.8649892565066157,0.8628807648447644,0.9875056383676694,0.4046055724705693
11,fine_tune,54.7,0.00035,0.0001,0.9975786924939467,0.9975981212207797,0.9977118866870419,0.9999971267536066,0.012668147615868902,0.8576051779935275,0.8530668455579499,0.8519102470376777,0.9851354659418561,0.4618853147361657
12,fine_tune,54.28,0.00035,0.0001,0.9983857949959645,0.9983376267143201,0.998471722785224,0.9999985406403749,0.00967812280962131,0.8511326860841424,0.8458364730361698,0.8437507178739969,0.9856383376174808,0.4448693039733615
